years_in_field,years_in_role,job_title_open,job_category_select,org-type_select,team-size,org-size_bucket,org-uxr-maturity_bucket,desc-of-work_open,reops-member_bucket,org-skill-ladder_bucket,org-reops-supt_bucket,work-towards-goal_bucket,goal-desc_open,goal-desc_tags,craft-important_1,craft-important_2,craft-important_3,craft-desired_1,craft-desired_2,craft-desired_3,craft-write-in_open,h1_biz-strategy_rating,h2_delivery-disciplines_rating,h3_org-diplomacy_rating,h4_service-conceptual_rating,h5_stakeholder-mgmt-comms_rating,h6_project-mgmt_rating,h7_research-process-mgmt_rating,h8_reops-prowess_rating,h9_technical-research-skills_rating,h10_persuation-articulation_rating,h11_interpersonal-relationships_rating,h12_prof-relationships_rating,h13_mindful-work-reflection_rating,biggest-challenge_open,biggest-challenge_tags,explore-excited_open,explore-excited_tags,one-next-step_open,one-next-step_tags,optional-other_open
3,1.5,Design Strategist III,designer,,20,"1,001+",Progressing,Financial industry contextual inquiry; in-depth interviews and co-creation workshops; a lot of subject-matter expert interviews,No,No,No,I'm not sure,,,302,206,601,501,301,305,,4,5,4,4,3,3,4,3,4,4,3,4,3,Bringing everyone with me in my thought process,communication/storytelling,Taking lead roles in projects,lead/manager role,Building practice outside of work,misc,
4,2,Sr. UX Researcher,researcher,Agency,10,101–500,Progressing,"A mix of discovery and usability research, community management, and communications, with one hand in product management and team leadership",Yes,Yes,No,No,[no] I wish I knew what was possible,quote,601,106,610,408,503,607,People management and leadership within a research team context — advocating for your research team,4,5,4,5,4,4,5,4,3,4,4,3,2,Balancing competing priorities as a solo researcher on my team,"research team of one,prioritisation",Management! How to mentor new + emerging researchers,"lead/manager role,support research leadership",Evaluate my management skills + team needs. Learn from my new teammates about what they need.,"learning/mentors,lead/manager role",
5,1,User Researcher,researcher,In-house private sector,6,"501–1,000",Progressing,"Evaluative research. Focusing post launch analytics, usability, accesible user research, research operations and coaching with designers on evaluative research",Yes,No,No,Yes,User Research manager,lead/manager role,504,308,610,504,408,610,,5,5,4,4,5,4,4,3,4,4,4,5,3,"Splitting my responsibilities between my cross-functional teams, like research planning and execution, and my functional team (research team) such as coaching.",parallel processes & responsibilities,Researcher and participant safety strategies around mental health and burn out for researchers to establish health strategies,mindfulness/reflection,Focus more on mindful work + reflection,mindfulness/reflection,Wonderful job
6,3.5,UX Research Manager,researcher,In-house private sector,55,"1,001+",Progressing,"People leadership, UX Ops (training, onboarding, defining incentive standards, growth path, etc...)",No,Yes,No,Yes,Sr. Lead Researcher,lead/manager role,604,609,610,601,501,507,,3,5,5,4,5,4,4,4,4,4,5,3,3,Doing impactful work in a timely manner. Setting and resetting expectations about UXR and UXR timelines in particular,"time,(product) impact/actionable insight",Teaching non-UXR's how to approach synthesis. Demystifying the process will only help me understand it better,"training/supporting,misc,quote",Read and write out my thoughts,mindfulness/reflection,
2,1.5,Head of product,other,In-house private sector,2,2–10,Early,50% Product research and management and 50% UX design,Yes,No,No,I'm not sure,,,204,309,507,610,201,504,Research-agile-fit (Foundational vs directional),5,5,4,5,4,5,3,4,4,4,4,2,3,"Incorporate product thinking, not only design/user-focused. e.g. viability of the product",incorporate product/biz thinking,Automating research practices within start-ups; versatile suit of methods as the start-up scales and grows. Research Ops for growth/scale-ups,"rigour/standards,Ops/scaling,start-ups,methods practice/skills",Keep on experimenting different methodologies throughout building a product b,method practice/skills,Scrappy vs methodical research methodologies and how to use them from our toolkit when engaging different projects
3,2,User Experience Researcher,researcher,In-house private sector,55,"1,001+",Progressing,I am transitioning from doing evaluative research on upcoming features to doing long- term strategic research on what we should build or change the foundation of the product.,No,Yes,No,Yes,Helping the desingers in the team do their own evaluative usabilityu tests and focus all my energy on strategic UXR,"strategy,training/supporting",504,,206,504,609,603,X= Ongoing discussions with the team,4,5,4,5,4,4,4,2,3,4,5,2,2,"1) Recruiting being long and difficult and space; 2) Not having a single catalogue that has all the research, product support network, data and customer service information. ",rigour/standards,Expanding my research method experience and having bigger impact in long-term decision across the organisation.,"methods practice/skills,strategy","Do a compelling research and presentation to help the team address the bigger, more foundational product problems","communication/storytelling,strategy",I feel a UXR needs being good in 4 different areas: 1) tools and technology needed to be efficient and collaborate; 2) Team collaboration; 3) Experience in different methods ;4) Persuasion in communicating results to make impact
9,2,Research lead,researcher,In-house private sector,2,51–100,Progressing,Product UXR including generative plus evaluative research. Research strategy plus planning. Early researchOps,Yes,No,No,No,,,206,604,401,609,610,407,,3,4,4,5,3,3,5,3,3,3,3,4,4,Positioning research so that it can have maximum impact much of this positioning = woking with stakeholders plus team members,"(product) impact/actionable insight,collaboration",I am excited about getting more out of our research by operationalizing some aspects of it,rigour/standards,Proactively working with cross-functional team members when I see something that can be improve,collaboration,
7,2,CX-Customer Experience Researcher,researcher,In-house private sector,3,101–500,Progressing,"Working on collecting client feedback to incorporate into our customer experience, decrease silos in teams and improve cross-collaboration",No,Yes,Yes,Yes,Being a better researcher-excompasing more methodology in all aspects of research and helping champion research in my organization,"training/supporting,methods practice/skills",102,206,601,307,602,408,"Have options on quantitative data methods, analysis",3,3,3,3,2,3,3,4,3,3,4,2,3,"Trying to figure out where I fit within the organization as a CX researcher and what is the most efficient use of my skill set, prioritazing project","prioritisation,mindfulness/reflection,quote",Excited tro grow the research practice in my organization and design participatory workshops to engage more members in the research process and demonstrate the value of research,"evangelize research,training/supporting,workshops/design sprints","Read, read, read, read as much as I can on how I can grow as a resaercher and scale the practice in my organization","scaling/expanding the scope,learning/mentors",Grateful that such a community exists where we can reflect on our craft and think about where I am going.
2.5,1,UX Researcher,researcher,In-house private sector,20,"1,001+",Mature,"exploratory research, usability, validation, evaluation",No,Yes,No,Yes,Not answered,,602,406,607,610,309,508,,4,5,4,3,4,3,4,3,3,4,3,3,3,"Getting ""good"" results is because I find it hard to not have expectations of what I should find out. If they are not as ""good"" as I hoped for, that becomes a challenge for me. ","(product) impact/actionable insight,quote",Set up a research structure for exploratory but also evaluative work,rigour/standards,Talk to my PM about beta testing and see if we can set up rolling testing studies,"scaling/expanding the scope,usability",
1,1,UX Designer,researcher,In-house private sector,0,"1,001+",Laggard,User research for the design of enterprise applications,No,No,No,Yes,"Dedicated research role, expanding the scope of research projects","focus on research,scaling/expanding the scope",402,305,502,604,603,609,,4,4,3,5,2,2,3,1,3,3,4,2,4,Not being in a dedicated research space and having to split time in design,focus on research,Understanding users interaction across multiple medium/touch points,design thinking/service design,Convince stakeholders of the importance of the step above in order to fund it,"stakeholder & expectation mngt,Evangelize value",
2,1,UX Designer + UX Researcher,designer,In-house private sector,4,51–100,Progressing,"Qualitative, discovery and evaluative research, discovery interviews, usability tests, first-impression tests",No,No,,No,Getting better at finding out insight. I want to learn more about different methods and learn more about analysis.,"methods practice/skills,quant skils",501,302,102,501,602,606,,4,3,4,4,4,4,3,3,3,3,5,4,4,Translating team needs/project challenges into actionable research plans that can help answer the problem,(product) impact/actionable insight,Discovery type of research - how do i get the insight that my team needs to make important decisions on the product,"generative/expl research,impact/actionable insight",Seeing how other researchers work and learn the varied research methodologies,"learning/mentors,method practice/skills",
5,1,UX Designer (conversational design),designer,In-house private sector,0,11–20,Laggard,"Exploratory research, interviews, observational and testing (usability and desirability)",No,No,No,Yes,Working to become a full-time researcher (currently doing UX/UI as well),focus on research,604,102,103,104,307,112,,,,2,2,3,,,,5,1,,4,,"Evangelize the value of research, formative mostly ",evangelize research / value,Explore forms of testing conversational designs,"usability,misc,methods practice/skills",,,
0.5,0.5,UX Specialist,designer,Public sector,0,101–500,Early,UX Design,No,No,No,Yes,"A new role, with research opportunities and mentors","focus on research,learning/mentors",112,312,608,405,108,403,,3,4,3,4,4,4,2,1,2,4,4,4,4,Finding an organisation that supports me in my growth as a newbie,learning/mentors,"Technical research skills, working with real people",misc,Find a new role,new job/role,
3,7,Product/UX Designer,designer,In-house private sector,0,21–50,Early,"Co-founder of a start-up, 7 years in and 35 employees. I've reached the stage where I'm not just the sole designer, UX/product designer/branding/researcher. We've hired our first part-time researcher (today)!",No,No,Yes,No,,,610,502,107,603,310,604,,5,3,4,5,3,4,4,2,3,3,3,5,5,Having no education or experience and having to work it out on my own,"misc,learning/mentors",Growing and leading a research team (starting with 20hr/week researcher),lead/manager role,Leadership mentoring,"lead/manager role,learning/mentors",
2,1,UX Designer,designer,Agency,2,21–50,Mature,Concept validation through research and prototype testing,On Waitlist,No,No,I'm not sure,"Create a formal, consistent base process",rigour/standards,605,107,601,406,408,310,,2,4,4,4,2,4,2,3,3,4,4,2,2,"Sourcing the right people to test, then doing the in-depth analysis to a level i'm happy with","participant recruitment,rigour/standards",More workshops - facilitating,workshops/design sprints,Presentation skills training to be more confident in running workshops,"communication/storytelling,workshops/design sprints",
4,0.2,UX Researcher,researcher,Public sector,20,"501–1,000",I'm not sure,Proposition design and usability testing and developing a ux research strategy,No,No,No,No,,,502,606,102,610,605,609,,3,4,3,4,5,4,5,4,4,3,3,3,3,Difficulty getting good data,"rigour/standards,misc","UX for new technologies (VR, AI etc)",new tech,Researching new tech,misc,How can organisations (esp. government) work together to make research better and easier (e.g. cross government user panels)
5,0.5,Senior UX Researcher,researcher,Public sector,5,"501–1,000",Progressing,"Information architecture, deep qualitative",No,Yes,Yes,Yes,"Personal goals, e.g upskilling tools and methodologies",methods practice/skills,310,604,201,409,208,504,,4,5,5,5,5,5,5,4,4,4,5,2,3,Not enough time to help everyone,"time,prioritisation","Methodologies, quantitative data","methods practice/skills,quantitative methods",PDP,misc,
1.5,2,Senior service designer,designer,Public sector,10,"1,001+",Early,"Qualitative customer interviews, user focus groups, testing prototypes with end users and employees",No,No,Yes,No,,,506,601,110,301,112,305,,4,1,4,4,5,3,3,2,2,2,4,2,5,"Getting buy in from management (both direct and senior management) as to the value of doing research. I work in the public sector, management are aware we have no direct competition for our services!","trust/buy-in,misc,quote",Doing research that matter and CRUCIALLY using that research to influence service design and what difference it makes for our customers,"design thinking/service design,impact/actionable insight",Up my game and read books about research - i'm a newb!,learning/mentors,"The career map exercise was very hard, particularly for someone in first research related role (only 18 months)
A really well run session, clear instructions from hosts who did a great job with a very rowdy group who were noisy!"
10,3,Lead product designer,designer,Agency,5,51–100,Early,Direction of CX/UX of product. Educate others in CX/UX practices,No,No,No,No,,,102,110,601,610,407,404,,4,4,3,2,2,3,3,2,3,2,3,4,3,Finding the time to focus on research. Justifying the need and potential gail through research. Embedding CX focus in the business.,"time,focus on research,trust/buy-in,incorporate product/biz thinking",Educating/evangelise the outcome and benefits of research,evangelize research,Embedding CX in business,incorporate product/biz thinking,
5,3,CX/UX Strategist,designer,In-house private sector,0,"1,001+",Mature,Startups - rapid prototyping / design thinking / facilitate workshops / UX flow / research prototypes / UI functionality / iterate / test,Yes,No,No,I'm not sure,Improving user experience to create seamless digital experiences,"misc,(product) impact/actionable insight",403,406,605,610,312,112,,4,3,2,1,1,2,3,4,5,1,2,3,1,Analysing the research / overlying current and future states,misc,"Omni channel experiences for excellent user journeys, BI analytics tools","misc,design thinking/service design","Illustrate user flows, orchestrate and automate data and insights","graphics/visuals,communication/storytelling,rigour/standards,project management/ownership",
10,0.4,Senior UX Research,researcher,In-house private sector,6,,Progressing,"Deep and broad multitasking - maturity - evangelising. Coaching, communication of findings into agile",No,No,No,Yes,Expertise in the field of ethics and persuasive communication clearly and concisely through visual and writing,"ethics/privacy,Evangelize research,communication/storytelling",501,503,507,502,312,102,Scenarios / processes - goals,3,2,4,4,2,3,3,3,3,2,3,1,2,Clarifying - justifying - multitasking - persuading - advocating - generating empathy,"evangelize research / value,misc,time",Persuasion - making user goals beneficial to our organisation. Pioneering business for social good,"evangelize research,quote,inclusive design/resp tech","Written and visual persuasion skills, concisely, powerful storytelling","graphics/visuals,communication/storytelling,Evangelize value",
2,1,User Researcher,researcher,In-house private sector,3,"1,001+",Early,"Currently, I work with product teams conducting discovery / research activities such as: user interviews, qualitative data analysis, usability testing, among others",No,Yes,No,Yes,I'm working towards a way to catalog and centralize findings and learning in order to make the value of research more visible to the organization,"Evangelize research,(product) impact/actionable insight,ops/scaling",301,501,408,604,606,608,,4,3,4,3,4,3,4,3,3,4,3,2,4,Findings valuabe information (in a sea of desorganization) that can actually help product teams making faster decisions without all the tech context.,(product) impact/actionable insight,"Develop quantitative models, combine qualitative with product analytics","quantitative methods,mixed methods",Being more participative in similar events,exchange/networking,
9,0.5,User Researcher,researcher,In-house private sector,43,"1,001+",Progressing,"Usability research, mostly creating tools to accelerate discovery activities, competitive analysis, usability tests, etc",No,Yes,Yes,Yes,"Accelerating discovery, support teams on the adoption of research activities","generative/expl research,training/supporting,rigour/standards",311,501,201,602,606,610,,4,5,5,5,4,4,5,4,5,5,5,3,4,"Time constraints, show value (measurable profit) to company",time,Be in contact with users and define cross-company strategies,"quote,misc","Gain more insight about what it ""value"" for stakeholders","Evangelize value,stakeholder & expectation mngt",
15,15,CEO,other,Agency,7,21–50,Mature,"UX Design, UX Research, Service Design",No,Yes,,I'm not sure,,,311,604,610,604,610,504,,5,5,4,5,4,3,5,3,4,3,4,3,4,"Stakeholders understanding of what is ""value""",evangelize research / value,Research Atoms...,misc,Read more. Reflect about learnings today,"learning/mentors,mindfulness/reflection",
6,1,Research Partner,researcher,Agency,2,2–10,Progressing,Citizen-centric research for the public sector,No,Self-employed,Yes,Yes,Setting closer to service design,Design Thinking/Service Design,301,601,201,107,110,103,,4,4,4,4,3,3,4,4,5,4,2,2,4,Trusting suppliers  – outsourcing researchers,misc,Excited to training people so they become researchers,training/supporting,Improve service design skills,service design,
4,2,UX Designer,designer,In-house private sector,20,101–500,Progressing,My main role is to be a bridge between the concept making (out of the country) and the development. I also do concept work and managing the UX activities on the teams,No,No,Yes,Yes,To establish a lab with a simulator,misc,507,301,610,301,103,107,,3,4,4,4,3,4,4,4,4,3,4,4,4,Having the opportunity to bring user research,focus on research,,,,,
6,2,Managing Director,other,Agency,2,2–10,Progressing,We're helping public sector clients to make best us of insights from citizens and voters so they can deliver more relevant insights,No,No,No,No,,,604,501,506,204,402,610,,4,3,3,4,4,4,4,3,4,4,5,3,3,Scale / qualitative research is very time intensive and often dependant of staff hours.,"time,quote",We'd like to explore how we can measure the customer-center or user-center mindset of an organisation,ROI,Talk to my clients about opportunities they might have,misc,Communication is everything - so important at all times
,6,Visual Designer & Illustrator,designer,In-house private sector,6,101–500,,I'm a designer in the marketing departmenet if a software company that develops products form fitness gyms,No,Yes,Yes,Yes,Working on developing and redesigning our company's pricing page. I have to do a deep research in order to know how to attract and convert customers,misc,402,506,605,306,101,201,,4,4,2,4,3,3,2,2,4,3,3,5,2,Making sure that my research is a wide and inclusive as possible. I want to gather as much knowledge and experience as possible.,learning/mentors,I want to better understand our direct clients needs (crossfit  6 years) so that I can too use that knowledge but also pass it to the product team.,"misc,impact/actionable insight",Making sure that our company's departments are in sync so that our users feel that their needs are met,"rigour/standards,misc,quote",
1,2,UI Designer,designer,In-house private sector,0,21–50,Laggard,I work mainly as a Product Designer. I did mainly Hi-fi and low-fi mockups and we are starting to invest more time in research,No,No,Yes,Yes,"Do more related with research, read more articles about the topic and attend to workshops","focus on research,learning/mentors,researcher role development",301,201,107,301,601,106,"There are two ""107"". Mine is ""conduct prototype / concept testing)",4,5,4,5,4,4,3,3,3,4,5,4,3,Lack fo knowledge. Not knowing the what methods to use and when to use it,methods practice/skills,I want to learn more research processes and methods. I excited about how little I know about research and what I can learn.,"methods practice/skills,rigour/standards,learning/mentors ","I don't know, maybe better define how I want to grow as a researcher","quote,mindfulness/reflection",
1,2,Digital Product Designer,designer,In-house private sector,0,51–100,Early,"I'm a designer in a product development team and I'm moving projects from initial concepts (or user reports / bugs) to final solutions, talking with stakeholders and the team involved in the development",No,No,No,Yes,"Working for creating a better, faster and more structured way of doing research and presenting it to team members","rigour/standards,communication/storytelling",107,103,104,201,301,602,,1,2,1,2,3,4,3,1,1,2,3,3,4,Currently i'm not doing such a specific research related work. But I do need more research time/people/resources to better address product needs/requests,(product) impact/actionable insight,Creating a process for research inside the company I work for. A process/framework/lean research methodology to help designers doing research quicker and easier,"rigour/standards,Ops/scaling",Talk more about research and its importance to my peers / co-workers. Try to evangelise it more and come up with situations to implement it inside the company,"Evangelize value,(product) impact/actionable insight",
5,3,User Researcher,researcher,In-house private sector,40,"1,001+",Progressing,Overall I am on a role of mentoring research practices on my org. Additionally I am very interested in atomic research,No,Yes,Yes,Yes,Sharing research findings / learning at scale. Designing product personas.,"learning/mentors,Evangelize research",405,601,604,606,408,403,,4,4,4,4,4,4,3,3,4,4,3,3,4,Company wide adoption of user research,"evangelize research / value,trust/buy-in",User research at scale at enterprise level,Ops/scaling,Learning new tools and best practices / frameworks at scale,"method practice/skills,scaling/expanding the scope",
4.5,2,Lead Research and Design,researcher,In-house private sector,0,"1,001+",Early,"Increase awarness, methodological help, coaching, analyse, recruitment, planning...",No,No,No,I'm not sure,,,404,408,610,601,610,504,,,,,,,,,,,,,,,Dealing with the frustration of not having the opportunity to properly do my job + having to analyse interviews that haven't been well conducted,"rigour/standards,time",,,,,
2,1.5,User Researcher,researcher,Freelance,1,1,Early,Democratising mixed methods and making space for research in teams of the development cycle,Yes,Self-employed,Self-employed,Yes,"Upping my quantitative game, research advocacy, remote research opportunities",quant skils,501,504,408,607,307,503,,4,5,2,4,3,4,3,2,3,3,4,2,1,"Time management with budget: advocacy, logistics & coordination","time,budget","mentorship, community","exchange/networking,learning/mentors ",Learn to get more comfortable with running workshops as an introvert,"workshops/design sprints,quote",nice invitation to think about our careers a tad more strategically
10,2,Lead UX designer,designer,Agency,0,51–100,Mature,I support a team of 7 UX and 5 UI designers to design and deliver a wow product,No,Yes,No,Yes,I want to improve and perfect the quality of research,"learning/mentors,methods practice/skills",504,606,604,607,106,102,,3,2,3,4,4,4,3,2,1,2,4,4,4,1) getting enough time for deeper analysis 2) multi-country research collection and analysis,"time,participant recruitment",team organisation and conducting my next research,project management/ownership,connect on reops slack,exchange/networking,
4.5,4.5,Product Desginer,designer,In-house private sector,0,51–100,Progressing,Analyse user needs to discover product opportunities,No,No,No,Yes,,"methods practice/skills,learning/mentors",501,508,408,310,111,306,Empathy skills!,4,4,3,5,3,3,3,4,3,3,4,4,5,"Find the why, the original JTBD and make good process",rigour/standards,technical methodology,methods practice/skills,601,,
7,1,Product Manager,other,In-house private sector,1,101–500,Laggard,structuring a user research process to integrate in the product development cycle,No,No,No,Yes,Integrating and streamlining user research in the product development cycle,"(product) impact/actionable insight,communication/storytelling,Evangelize research",501,102,107,408,602,610,,4,3,4,,4,2,4,3,3,2,3,3,3,Integrate with the product dev cycle,integration into product dev cycle,connect and streamline quant and qual research,mixed methods,test a workflow that connects user research with the product dev cycle,incorporate product/biz thinking,
25,0,UX Researcher,researcher,,,,,Understanding how to make products easy to learn + pleasure to use,No,Yes,No,Yes,To find a home devoted to user-centered design in a multi-disciplinary environment,"quote,expanding professional horizon",501,303,102,501,303,102,,4,5,5,5,4,5,5,5,5,4,4,3,5,"reinforcing building block statistics (methods, structures, sampling)",rigour/standards,sharing with others,"exchange/networking,collaboration",offer help to another research needing input,training/supporting,
20,7,CEO Mediasphère Conseils,other,Agency,4,2–10,Mature,Innovation + Research + User test,No,Yes,Yes,No,Extend my business,research as a service,603,501,601,603,501,601,,5,5,5,3,5,5,5,5,5,5,5,5,5,relationships (with stakeholders),stakeholder & expectation mgt,,,,,
3,0.6,User Experience Researcher,researcher,In-house private sector,1,"1,001+",Mature,Support my product team,Yes,Yes,Yes,Yes,contractor to full time employee,employment relationship,604,408,602,604,408,610,,4,5,5,4,4,3,4,4,4,4,5,5,3,engage eng + pm. Block time for strategic programs,misc,connect my colleagues with external communities,exchange/networking,talk to my fellow uxers,exchange/networking,I have a lots of needs for research myself (not ops)
3,1,UX Designer,designer,Freelance,0,1,Laggard,"Helping my client to create new products. It starts with a research phase, which I lead. Then ideation with the whole team",Yes,Self-employed,Self-employed,Yes,Using design sprints to make insights more actionnable,"Design Thinking/Service Design,(product) impact/actionable insight",605,111,601,605,501,602,,3,2,2,3,3,4,4,4,4,4,4,3,3,"Explaining what we are going to do and why, internally",trust/buy-in,research evangelisation,evangelize research,make more design sprints,workshops/design sprints,
5,3,UX & Service designer,designer,Freelance,0,1,Progressing,"Helping companies introduce user centered design in their activities, helping startups validate and iterate on their value proposition",On Waitlist,Self-employed,Self-employed,Yes,grow,"learning/mentors,methods practice/skills",501,610,507,501,201,404,,4,4,3,4,4,5,4,4,5,4,4,4,4,How do I go deeper? Where do I find the project I am dreaming doing?,misc,collaborate with senior researchers contributing on impactful project,"impact/actionable insight,collaboration",save time for what's really important,prioritisation,what's next?
2,2,service and product designer,designer,Agency,20,21–50,Mature,designer doing some research sometimes,No,Yes,Yes,I'm not sure,,,403,601,610,301,101,110,,1,4,1,4,1,1,2,2,1,2,3,4,3,being a designer in a team where ux researchers own the expertise it's hard to be involved enough,"collaboration,quote",figuring out the best way to collaborate between ux researchers and designers,collaboration,get involved in ux research community,exchange/networking,
0,0,UX Researcher,researcher,In-house private sector,1,101–500,Laggard,I'm helping designers in applying methodology to improve their designs,No,No,No,Yes,becoming a better user researcher,"learning/mentors,methods practice/skills",508,201,601,607,605,111,,4,3,2,4,2,1,3,3,3,2,4,3,4,Involve stakeholder in a ux strategy,"stakeholder & expectation mgt,strategy",better understand new methods on ux to help improving products,"methods practice/skills,impact/actionable insight,quote",better evengalise ux methods by proof of concepts,Evangelize value,
3.5,0.5,UX Research (chargé d'étude),researcher,Agency,2,101–500,Early,Supporting my company's research team during the research phase of their work. Help clients have a deeper understanding of their customers needs and habbits,On Waitlist,Yes,No,No,,,301,102,601,604,610,603,,5,3,2,3,4,4,4,3,3,3,2,2,3,time and budget allowed to research,"time,budget","workshop facilitation, combination with data analytics","workshops/design sprints,quantitative methods",,,
10,5,Phd student university of london,designer,Public sector,2,"501–1,000",None,Too academic and disconnected from current everyday concen,No,Yes,No,Yes,Understand more methods and tools of UX design and UX research,methods practice/skills,302,502,314,602,309,312,,4,5,5,3,1,4,4,4,4,1,1,4,4,because my exp of research is for now just academic I find communication the main challenge. Showing how important research is.,"communication/storytelling,evangelize research / value",I am building my career as ux researchers by strenghtening my knowledge about methodologies,methods practice/skills,a course in methodo,"learning/mentors,method practice/skills",
